ID,RA,DEC
"iDR3.SPLUS-s28s36.000026",57.88896481579407,-36.90414856393459
"iDR3.HYDRA-0155.100981",157.83910402368363,-45.64787657223866
"iDR3.SPLUS-s21s22.042879",318.4259223199058,-26.523973932156988
"iDR3.HYDRA-0095.038481",150.34345612577488,-36.36023161905911
"iDR3.SPLUS-s30s41.034491",68.10072582475581,-38.6335461956776
"iDR3.HYDRA-0077.016390",149.49789108084275,-34.054968514257155
"iDR3.HYDRA-0062.045899",156.2665107881092,-30.652673063849697
"iDR3.HYDRA-0066.033639",161.47441182224094,-30.849252934535546
"iDR3.SPLUS-s26s48.075519",316.1942029373568,-32.84718047090613
"iDR3.HYDRA-0112.025956",149.15783754849198,-39.50576440346268
"iDR3.HYDRA-0073.071195",158.42009007951165,-31.74543771286902
"iDR3.SPLUS-n11s40.058627",204.25955482322905,-12.824546471127727
"iDR3.HYDRA-0047.074822",162.59373072652033,-27.368107736260534
"iDR3.HYDRA-0061.079386",153.93283834106816,-30.109797573552832
"iDR3.SPLUS-s22s34.015036",336.2839708697898,-28.642961733211386
"iDR3.SPLUS-s34s43.000970",318.0648945051363,-44.75456755895427
"iDR3.SPLUS-n14s04.035800",153.84169340720192,-17.446367703037293
"iDR3.SPLUS-n17s06.044598",158.52402304958179,-21.34788738599182
"iDR3.HYDRA-0037.059414",161.10861009086577,-25.951161716193315
"iDR3.HYDRA-0094.045164",165.40928689230049,-34.94516761917783
"iDR3.HYDRA-0149.119352",159.4709267970888,-43.86007773288828
"iDR3.HYDRA-0117.069238",160.0639019386787,-38.59419284655704
"iDR3.HYDRA-0134.074408",159.39841191849118,-41.4592817859141
"iDR3.STRIPE82-0036.000602",24.11961493287005,0.026195752546741502
"iDR3.SPLUS-s31s44.000034",316.0305917464601,-40.84765690927609
"iDR3.SPLUS-s24s53.000002",321.5625805797768,-31.615376365575624
"iDR3.HYDRA-D-0001.030071",157.4131079789567,-35.043837246965616
"iDR3.SPLUS-n18s16.012467",173.44708705543903,-23.350512504245973
"iDR3.HYDRA-D-0004.003138",157.0753827774953,-36.691805709090175
"iDR3.STRIPE82-0121.000445",324.53663582536615,-1.3736253157838896
"iDR3.SPLUS-n16s01.039654",150.45553281590728,-19.940589094414495
"iDR3.SPLUS-s24s14.005974",19.60660774712286,-31.399353927533895
"iDR3.HYDRA-0046.035084",161.62048671080032,-28.15520843981378
"iDR3.SPLUS-n02s24.008833",182.74331562989954,-1.8524462527304242
"iDR3.HYDRA-0141.025732",158.8065775802616,-43.61225611492889
"iDR3.HYDRA-0142.100845",160.71061072765804,-42.831132384496996
"iDR3.STRIPE82-0020.047343",12.14637949210302,1.0509885693606407
"iDR3.HYDRA-0099.028003",159.1180503599658,-36.59876282039385
"iDR3.HYDRA-0137.152409",150.04403590717658,-42.47967038356912
"iDR3.SPLUS-n13s07.001405",158.52840956441412,-16.892213111608424
"iDR3.SPLUS-n03s21.047367",177.88896201644386,-2.3727022231183543
"iDR3.HYDRA-0060.064019",152.2423386574837,-30.14090150982303
"iDR3.HYDRA-D-0001.039852",157.4120863315039,-34.90442344373757
"iDR3.HYDRA-D-0003.054153",157.4066514130115,-36.097477899578195
"iDR3.SPLUS-s22s15.027108",21.455380574897077,-28.162097768619763
"iDR3.SPLUS-n13s07.000228",159.3341417353601,-16.925025206677073
"iDR3.HYDRA-0093.031829",161.91055073565602,-35.210061468610334
"iDR3.SPLUS-n12s36.037222",201.03658613768138,-14.610930357652853
"iDR3.HYDRA-0149.118794",159.13859477095005,-43.862139008850626
